Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
259	:	1743673695.762	     0.753	0	9952	10	0	./cadical/cadical data/53188-5-100-0.8-16-True.cnf
344	:	1743673696.345	     0.177	0	9236	10	0	./cadical/cadical data/18735-5-100-0.6-16-True.cnf
267	:	1743673695.798	     0.768	0	10619	10	0	./cadical/cadical data/53188-5-100-0.6-14-True.cnf
299	:	1743673695.954	     0.628	0	11514	10	0	./cadical/cadical data/22710-5-100-0.5-16-True.cnf
280	:	1743673695.860	     0.752	0	9710	10	0	./cadical/cadical data/22710-5-100-0.9-17-True.cnf
350	:	1743673696.582	     0.039	0	8449	10	0	./cadical/cadical data/18735-5-100-0.5-17-True.cnf
318	:	1743673696.044	     0.637	0	10817	10	0	./cadical/cadical data/42462-5-100-0.6-15-True.cnf
121	:	1743673695.208	     1.490	0	3556639	0	0	./albatross/albatross data/50408-5-100-0.5-13-False.cnf
349	:	1743673696.531	     0.176	0	10270	10	0	./cadical/cadical data/18735-5-100-0.5-16-True.cnf
338	:	1743673696.197	     0.527	0	9928	10	0	./cadical/cadical data/18735-5-100-0.7-15-True.cnf
44	:	1743673694.981	     1.858	0	4161683	0	0	./albatross/albatross data/22710-5-100-0.6-16-False.cnf
339	:	1743673696.203	     0.641	0	9973	10	0	./cadical/cadical data/18735-5-100-0.7-16-True.cnf
330	:	1743673696.111	     0.763	0	9666	10	0	./cadical/cadical data/18735-5-100-0.9-17-True.cnf
360	:	1743673696.881	     0.036	0	7043	10	0	./cadical/cadical data/50408-5-100-0.8-17-True.cnf
358	:	1743673696.845	     0.131	0	8697	10	0	./cadical/cadical data/50408-5-100-0.8-15-True.cnf
348	:	1743673696.522	     0.552	0	11379	10	0	./cadical/cadical data/18735-5-100-0.5-15-True.cnf
359	:	1743673696.864	     0.224	0	8857	10	0	./cadical/cadical data/50408-5-100-0.8-16-True.cnf
243	:	1743673695.689	     1.433	0	2743138	0	0	./albatross/albatross data/81023-5-100-0.6-15-False.cnf
365	:	1743673697.128	     0.014	0	6941	10	0	./cadical/cadical data/50408-5-100-0.7-17-True.cnf
148	:	1743673695.291	     1.900	0	4069229	0	0	./albatross/albatross data/43018-5-100-0.5-15-False.cnf
189	:	1743673695.443	     1.768	0	3852842	0	0	./albatross/albatross data/78144-5-100-0.7-16-False.cnf
